ticker,close_date,div_sum
MGNT,2025-01-09,560.0
MGNT,2024-07-15,412.13
MGNT,2024-01-11,412.13
MISB,2023-05-22,0.48849334
MISB,2022-07-13,0.566037736
MISB,2022-07-13,0.6037735849
MISB,2022-07-13,1.358490566
MISBP,2023-05-22,3.79997512
MISBP,2022-07-13,0.566037736
MISBP,2022-07-13,0.6037735849
MISBP,2022-07-13,1.358490566
MOEX,2024-06-14,17.35
MOEX,2023-05-12,4.84
MRKC,2024-07-04,0.06621
MRKC,2023-06-23,0.01121
MRKC,2023-01-08,0.034
MRKC,2022-06-28,0.0338114
MRKP,2024-06-28,0.03883
MRKP,2023-06-23,0.00204
MRKP,2023-01-08,0.03015
MRKP,2022-06-27,0.0278233
MRKU,2024-06-14,0.03836
MRKU,2024-06-14,0.05441
MRKU,2023-06-23,0.00504
MRKU,2023-01-08,0.01893
MRKU,2022-06-28,0.0249
MRKV,2022-06-28,0.00032305
MRSB,2024-12-09,0.09181
MRSB,2023-12-05,0.037197
MRSB,2023-07-07,0.032768
MSNG,2024-07-09,0.16038
MSNG,2023-07-04,0.18652
MSNG,2022-07-11,0.22308
MSRS,2024-07-05,0.14282
MSRS,2023-06-30,0.0121
MSRS,2023-01-08,0.0849
MSRS,2022-07-03,0.095
MTSS,2024-07-16,35.0
MTSS,2023-06-29,34.29
MTSS,2022-07-12,33.85
NAUK,2024-05-28,7.2
NAUK,2023-06-05,7.2
NAUK,2022-09-30,5.93
NKHP,2024-12-16,17.12
NKHP,2024-10-07,8.24
NKHP,2024-10-07,22.19
NKHP,2024-01-08,29.75
NKHP,2023-07-12,14.62
NKHP,2022-07-11,8.24
NKNC,2024-07-09,2.94
NKNC,2023-07-11,1.49
NKNC,2022-07-11,0.744
NKNCP,2024-07-09,2.94
NKNCP,2023-07-11,1.49
NKNCP,2022-07-11,0.744
NLMK,2024-05-27,25.43
NMTP,2024-07-10,0.772
NMTP,2023-07-12,0.798
NMTP,2022-07-12,0.54
NOMP,2025-01-09,19.5
NOMP,2025-01-08,19.5
NOMPP,2025-01-09,19.5
NOMPP,2025-01-08,19.5
NVTK,2025-04-28,46.65
NVTK,2024-10-11,35.5
NVTK,2024-03-26,44.09
NVTK,2023-10-10,34.5
NVTK,2023-05-03,60.58
NVTK,2022-10-09,45.0
NVTK,2022-05-05,43.77
OGKB,2023-07-10,0.0580758473514
OGKB,2022-07-11,0.0965536029864
PHOR,2025-06-09,171.0
PHOR,2025-04-20,171.0
PHOR,2024-12-22,249.0
PHOR,2023-12-25,291.0
PHOR,2023-07-11,264.0
PHOR,2023-04-04,465.0
PHOR,2022-12-19,318.0
PHOR,2022-10-03,780.0
PLZL,2025-04-25,730.0
PLZL,2024-12-13,1301.75
PMSB,2025-01-11,20.0
PMSB,2024-05-26,28.4
PMSB,2023-05-23,15.5
PMSB,2022-05-22,14.0
PMSBP,2025-01-11,20.0
PMSBP,2024-05-26,28.4
PMSBP,2023-05-23,15.5
PMSBP,2022-05-22,14.0
POLY,2022-05-06,0.52
POSI,2024-04-20,47.3
POSI,2023-12-03,15.8
POSI,2023-04-16,37.87
POSI,2022-11-14,5.16
POSI,2022-05-08,14.4
POSIP,2022-05-08,14.4
PRMB,2024-05-06,2000.0
PRMB,2023-05-02,2400.0
PRMB,2022-10-11,2400.0
PRMB,2022-05-30,1310.0
RASP,2022-01-18,28.0
RDRB,2023-05-22,11.0
RDRB,2022-09-20,11.08
RDRBP,2023-05-22,0.1
RDRBP,2022-09-20,0.1
RGSS,2024-03-18,0.00410062
ROSB,2024-05-27,2.9
ROSB,2023-06-09,2.9
ROSN,2025-01-10,36.47
ROSN,2024-07-09,29.01
ROSN,2024-01-11,30.77
ROSN,2023-07-11,17.97
ROSN,2023-01-12,20.39
ROSN,2022-07-11,23.63
RTKM,2024-09-27,6.06
RTKM,2023-12-01,5.4465
RTKM,2022-07-20,4.56
RTKMP,2024-09-27,6.06
RTKMP,2023-12-01,5.4465
RTKMP,2022-07-20,4.56
RTSB,2023-05-23,0.03149321
RTSB,2022-07-20,0.0035342
RTSB,2022-07-20,0.0090563
RTSB,2022-07-20,0.0276106
RTSBP,2023-05-23,0.0476815
RTSBP,2022-07-20,0.0035342
RTSBP,2022-07-20,0.0090563
RTSBP,2022-07-20,0.0276106
RZSB,2024-06-10,4.2158648522
RZSB,2023-06-01,3.5959466942
RZSB,2022-06-09,2.4041145796
SAGO,2023-07-09,0.13
SAGOP,2023-07-09,0.13
SBER,2024-07-11,33.3
SBER,2023-05-11,25.0
SBERP,2024-07-11,33.3
SBERP,2023-05-11,25.0
SELG,2024-06-15,2.0
SELG,2023-12-03,2.0
SELG,2022-06-21,4.5
SFIN,2024-12-20,227.6
SFIN,2024-06-17,20.6
SFIN,2023-12-14,39.42
SGZH,2022-06-02,0.64
SIBN,2024-10-14,51.96
SIBN,2024-07-08,19.49
SIBN,2023-12-27,82.94
SIBN,2023-07-10,12.16
SIBN,2022-12-30,69.78
SIBN,2022-07-08,16.0
SMLT,2022-10-12,41.0
SMLT,2022-07-11,41.0
SNGS,2024-07-18,0.85
SNGS,2023-07-20,0.8
SNGS,2022-07-20,0.8
SNGSP,2024-07-18,12.29
SNGSP,2023-07-20,0.8
SNGSP,2022-07-20,4.73
STSB,2024-07-06,0.3121725
STSB,2022-07-04,0.0
STSBP,2024-07-06,0.3121725
STSBP,2022-07-04,0.0846086
SVAV,2024-07-05,89.0
SVAV,2023-07-10,45.39
SVCB,2024-07-08,1.14
T,2025-05-16,32.0
TATN,2025-01-08,17.39
TATN,2024-10-08,38.2
TATN,2024-07-09,25.17
TATN,2024-07-04,25.17
TATN,2024-01-09,35.17
TATN,2023-10-11,27.54
TATN,2023-07-11,27.71
TATN,2023-07-04,27.71
TATN,2023-01-10,6.86
TATN,2022-10-11,32.71
TATN,2022-07-08,16.14
TATNP,2025-01-08,17.39
TATNP,2024-10-08,38.2
TATNP,2024-07-09,25.17
TATNP,2024-07-04,25.17
TATNP,2024-01-09,35.17
TATNP,2023-10-11,27.54
TATNP,2023-07-11,27.71
TATNP,2023-07-04,27.71
TATNP,2023-01-10,6.86
TATNP,2022-10-11,32.71
TATNP,2022-07-08,16.14
TCSG,2024-11-25,92.5
TGKA,2022-07-18,0.001125376
TGKN,2024-09-17,0.000456185457964
TGKN,2024-06-04,0.000210388885639
TGKN,2024-06-04,0.001078322523901
TGKN,2023-08-14,0.000441843777605
TGKN,2023-06-16,0.00049448386167
TORS,2023-06-30,0.0352
TORS,2022-12-17,0.0
TORSP,2023-06-30,0.0098
TORSP,2022-12-17,0.0254
TRMK,2024-06-04,9.51
TRMK,2023-09-05,13.45
TRMK,2023-01-31,6.78
TRMK,2022-09-09,9.68
TRMK,2022-05-27,0.82
TRNF,2024-07-19,177.2
TRNF,2023-07-20,16665.2
TRNF,2022-07-20,10497.36
TRNFP,2024-07-19,177.2
TRNFP,2023-07-20,16665.2
TRNFP,2022-07-20,10497.36
TTLK,2024-05-27,0.04887
TTLK,2023-04-18,0.05085
TTLK,2022-05-18,0.04285
USBN,2024-06-04,0.027378645
VRSB,2023-05-22,4.6749131
VRSB,2022-07-14,3.8735
VRSB,2022-07-14,3.940284
VRSB,2022-07-14,6.878801
VRSBP,2023-05-22,4.6749131
VRSBP,2022-07-14,3.8735
VRSBP,2022-07-14,3.940284
VRSBP,2022-07-14,6.878801
VSMO,2024-06-03,564.0
VSMO,2023-06-05,563.77
VSMO,2022-07-11,563.76
VTGK,2022-10-11,0.089954268233679
VTGK,2022-05-23,0.089954268233679
WTCM,2025-04-21,0.883534136
WTCM,2023-05-10,0.562248995983936
WTCM,2022-05-04,0.562248995983936
WTCMP,2025-04-21,0.883534136
WTCMP,2023-05-10,0.562248995983936
WTCMP,2022-05-04,0.562248995983936
X5,2025-07-09,648.0
YDEX,2025-04-28,80.0
YDEX,2024-09-20,80.0
ZAYM,2025-01-14,10.51
ZAYM,2024-10-06,12.02
ZAYM,2024-04-26,4.58
