ticker,close_date,close_price,date_after_gap,price_after_gap,change_price_after_gap
DIOD,2022-07-04 00:00:00,7.4,2022-08-03 00:00:00,7.34,0.991891891891892
DIOD,2023-07-07 00:00:00,11.76,2023-08-06 00:00:00,14.38,1.2227891156462587
EELT,2021-07-09 00:00:00,7.46,2021-08-08 00:00:00,7.52,1.0080428954423593
EELT,2022-10-12 00:00:00,5.08,2022-11-11 00:00:00,5.3,1.0433070866141732
EELT,2023-07-07 00:00:00,12.18,2023-08-06 00:00:00,13.14,1.078817733990148
EELT,2023-12-18 00:00:00,12.76,2024-01-17 00:00:00,13.34,1.0454545454545454
FEES,2021-07-16 00:00:00,0.20736,2021-08-15 00:00:00,0.19628,0.9465663580246916
FIVE,2021-05-28 00:00:00,2204.0,2021-06-27 00:00:00,2495.5,1.1322595281306715
FIVE,2021-12-17 00:00:00,2031.0,2022-01-16 00:00:00,1885.0,0.928114229443624
FIXP,2021-09-24 00:00:00,643.1,2021-10-24 00:00:00,611.2,0.950396516871404
FLOT,2021-07-05 00:00:00,89.42,2021-08-04 00:00:00,88.9,0.9941847461418029
FLOT,2023-07-05 00:00:00,89.2,2023-08-04 00:00:00,106.3,1.1917040358744393
GAZA,2021-07-19 00:00:00,473.0,2021-08-18 00:00:00,472.0,0.9978858350951374
GAZAP,2021-07-19 00:00:00,381.5,2021-08-18 00:00:00,386.0,1.0117955439056356
GAZP,2021-07-15 00:00:00,280.01,2021-08-14 00:00:00,292.7,1.0453198100067855
GAZP,2022-10-11 00:00:00,162.89,2022-11-10 00:00:00,168.9,1.0368960648290255
GCHE,2021-10-03 00:00:00,3014.0,2021-11-02 00:00:00,3507.0,1.1635700066357
GCHE,2022-12-12 00:00:00,2718.0,2023-01-11 00:00:00,2782.0,1.0235467255334805
GCHE,2023-10-01 00:00:00,4169.0,2023-10-31 00:00:00,4022.0,0.9647397457423844
GEMA,2021-06-09 00:00:00,675.0,2021-07-09 00:00:00,693.0,1.0266666666666666
GEMA,2021-10-05 00:00:00,918.5,2021-11-04 00:00:00,894.0,0.9733260751224824
GEMA,2022-01-05 00:00:00,962.0,2022-02-04 00:00:00,880.0,0.9147609147609148
GEMA,2022-06-21 00:00:00,686.5,2022-07-21 00:00:00,668.5,0.9737800436999272
GEMA,2022-10-17 00:00:00,802.0,2022-11-16 00:00:00,803.5,1.0018703241895262
GEMA,2023-07-10 00:00:00,961.0,2023-08-09 00:00:00,947.5,0.985952133194589
